path,BlurScore,IsBlurry,MotionBlurScore,GlareArea,HasGlare,Exposure,IsWellExposed,Contrast,HasLowContrast,Noise,HasNoise,ColorDominance,HasColorDominance,BandingScore,BrisqueScore,ElapsedMs
data/midv500_frames/image_083.jpg,18.863510245447987,True,0.6068141940391907,84215,True,159.05073688271605,True,43.50193571014438,False,41.130610050154324,True,1.0612511487048213,False,1349.4697912148038,,390.4898166656494
data/midv500_frames/image_084.jpg,17.399408254671144,True,0.6367898490799524,72999,True,158.13726948302468,True,44.86387442759918,False,40.470564718364194,True,1.0608039052443774,False,1495.6774996035347,,394.512414932251
data/midv500_frames/image_085.jpg,19.40850959409769,True,0.8748063091913166,72897,True,71.62860869984569,False,65.19022311763015,False,36.83827546296296,True,1.1915461440705675,False,2993.9955149352827,,407.590389251709
data/midv500_frames/image_086.jpg,25.011369829956433,True,0.8751028726732135,71530,True,71.4583738425926,False,65.26637009141557,False,37.422928722993824,True,1.1888278667319299,False,2992.1324607651504,,403.48124504089355
data/midv500_frames/image_087.jpg,25.905741525963943,True,0.8654943965457952,70254,True,71.55830584490741,False,65.40093235908574,False,41.27497733410494,True,1.1850068925224049,False,3009.197068509098,,409.40213203430176
data/midv500_frames/image_088.jpg,32.05806504651863,True,0.8361695688596804,71301,True,71.50183352623456,False,65.32726259348104,False,42.59578269675926,True,1.1852808299470827,False,2991.613655637023,,412.4336242675781
data/midv500_frames/image_089.jpg,17.022279587555058,True,0.7022174795802532,77531,True,71.80607156635803,False,65.23581396287189,False,38.31156442901234,True,1.1960983261709757,False,2990.6180671587754,,415.3745174407959
data/midv500_frames/image_090.jpg,21.672547727454667,True,0.7096848344913338,73800,True,71.52832127700617,False,65.11029983991189,False,40.64393663194444,True,1.1973843715838872,False,2947.288499251787,,406.07762336730957
data/midv500_frames/image_091.jpg,31.911324718583124,True,0.8076246777974685,67934,True,71.24173611111111,False,65.05870692263868,False,42.949124228395064,True,1.1947688717569132,False,2928.4169802890883,,398.71859550476074
data/midv500_frames/image_092.jpg,23.872236013700224,True,0.7912037986035276,68169,True,71.51745129243827,False,65.33674854993467,False,41.601682581018515,True,1.1927361464152066,False,2967.4667646242187,,395.88379859924316
data/midv500_frames/image_093.jpg,28.168241186707387,True,0.746715222926277,76484,True,71.54012201003087,False,65.50197432899192,False,44.185958719135805,True,1.1929312745105047,False,2962.295192958563,,402.58073806762695
data/midv500_frames/image_094.jpg,34.297921466847754,True,0.8020024983772494,81703,True,71.31993923611111,False,65.4425638096676,False,45.33886622299383,True,1.1842688465359714,False,2929.2687187237498,,420.06731033325195
data/midv500_frames/image_095.jpg,12.27750575554174,True,0.8590246158110573,82187,True,71.53682388117284,False,64.93799831898237,False,31.596711033950616,True,1.1803161781934093,False,2913.5781683892683,,394.0114974975586
data/midv500_frames/image_096.jpg,12.096910204121562,True,0.9820478164122617,76343,True,70.82501591435185,False,64.5115131071544,False,29.7091796875,True,1.1716540886041178,False,2849.912981391641,,396.6820240020752
data/midv500_frames/image_097.jpg,16.6110782638701,True,0.8951215128228435,73169,True,70.41027391975308,False,64.16158928747092,False,35.092898341049384,True,1.1742447114505896,False,2792.78170974894,,397.25303649902344
data/midv500_frames/image_098.jpg,8.685763887005079,True,0.6959799898167826,68425,True,70.18029899691358,False,63.55171355747346,False,28.813084972993828,True,1.1774212541286233,False,2799.0729033154266,,418.3320999145508
data/midv500_frames/image_099.jpg,9.112310471353412,True,0.8337104446211804,68084,True,69.54520978009259,False,63.39477172632765,False,28.292286844135802,True,1.1636283061799308,False,2800.217635522295,,430.0243854522705
data/midv500_frames/image_100.jpg,10.198902874226308,True,0.9699032497259437,62069,True,69.4691189236111,False,63.32279829277634,False,28.415489486882716,True,1.173214594351407,False,2812.3926718444477,,431.3075542449951
data/midv500_frames/image_101.jpg,11.259879903858748,True,0.8255314864534677,57484,True,69.20049093364197,False,63.36982095067582,False,30.968911072530865,True,1.1770370543022315,False,2823.6836023882447,,417.4633026123047
data/midv500_frames/image_102.jpg,20.962153669870624,True,0.6466476433005578,43038,True,69.53722993827161,False,63.61999788515402,False,36.353962673611115,True,1.1729624131567917,False,2963.7389907338566,,411.33928298950195
data/midv500_frames/image_103.jpg,15.089519136226448,True,0.7907512816490256,38173,True,69.9466121720679,False,63.5248678336709,False,35.944371624228395,True,1.166194203188541,False,2988.681923386634,,412.11485862731934
