Metric,PassRate,Mean,Std,Min,Max
IsBlurry,0.95,,,,
HasGlare,0.35,,,,
HasNoise,1,,,,
HasLowContrast,1,,,,
HasColorDominance,1,,,,
!IsWellExposed,1,,,,
BlurScore,,475.8022336414089,250.46856087509835,83.23249226715934,861.6144847312271
MotionBlurScore,,1.0537995780351346,0.07211742722403514,1.0017988490066678,1.3013814590553232
GlareArea,,6977.25,6635.07221418878,52,18497
Exposure,,133.46010705255077,11.280070997121996,117.72416774684109,146.28496225241437
Contrast,,54.41482612481549,2.508825744098476,51.1883701922531,59.4586966228371
Noise,,42.041190721091,25.169514683617074,8.234036541803468,84.43960351100503
ColorDominance,,1.2446600259544824,0.09510796078709705,1.1507250065390804,1.3902224117640491
BandingScore,,0.38395683974405515,0.14724505985157677,0.2659320447071551,0.8026785479180911
BrisqueScore,,4.501727287174572,0.3552084570734994,4.11058545596496,5.357338815436741
AvgProcessingTimeMs,,269.7727549999999,,,
